observation_date,State,Housing,Housing Values
01-01-2000,California,HPI,260.97
01-01-2000,California,Housing Permits,11951.086643014
01-01-2000,California,Total Personal income,1092962.9
01-01-2000,Florida,HPI,200.78
01-01-2000,Florida,Housing Permits,11628.801210835
01-01-2000,Florida,Total Personal income,460076
01-01-2000,NewYork,HPI,335.61
01-01-2000,NewYork,Housing Permits,2246
01-01-2000,NewYork,Total Personal income,665377
01-01-2000,Texas,HPI,158.95
01-01-2000,Texas,Housing Permits,10623.766520203
01-01-2000,Texas,Total Personal income,575999
01-04-2000,California,HPI,268
01-04-2000,California,Housing Permits,10757.563256773
01-04-2000,California,Total Personal income,1112732.3
01-04-2000,Florida,HPI,204.36
01-04-2000,Florida,Housing Permits,11212.697294425
01-04-2000,Florida,Total Personal income,466519.1
01-04-2000,NewYork,HPI,345.64
01-04-2000,NewYork,Housing Permits,4511
01-04-2000,NewYork,Total Personal income,676790.3
01-04-2000,Texas,HPI,161.6
01-04-2000,Texas,Housing Permits,10122.885410723
01-04-2000,Texas,Total Personal income,586305.4
01-07-2000,California,HPI,276.99
01-07-2000,California,Housing Permits,10824.2487003
01-07-2000,California,Total Personal income,1150264.1
01-07-2000,Florida,HPI,208.67
01-07-2000,Florida,Housing Permits,10747.002469418
01-07-2000,Florida,Total Personal income,475356.3
01-07-2000,NewYork,HPI,355.74
01-07-2000,NewYork,Housing Permits,3874
01-07-2000,NewYork,Total Personal income,687173.1
01-07-2000,Texas,HPI,164
01-07-2000,Texas,Housing Permits,10384.328715586
01-07-2000,Texas,Total Personal income,598118.8
01-10-2000,California,HPI,285.56
01-10-2000,California,Housing Permits,11611.500512469
01-10-2000,California,Total Personal income,1154241
01-10-2000,Florida,HPI,213.02
01-10-2000,Florida,Housing Permits,11826.505918104
01-10-2000,Florida,Total Personal income,484400.8
01-10-2000,NewYork,HPI,361.17
01-10-2000,NewYork,Housing Permits,3534
01-10-2000,NewYork,Total Personal income,703516.7
01-10-2000,Texas,HPI,165.91
01-10-2000,Texas,Housing Permits,11678.305482328
01-10-2000,Texas,Total Personal income,606530.2
01-01-2001,California,HPI,296.6
01-01-2001,California,Housing Permits,15950.574450486
01-01-2001,California,Total Personal income,1175565
01-01-2001,Florida,HPI,219.19
01-01-2001,Florida,Housing Permits,12934.762550234
01-01-2001,Florida,Total Personal income,493228.4
01-01-2001,NewYork,HPI,369.33
01-01-2001,NewYork,Housing Permits,1832
01-01-2001,NewYork,Total Personal income,713520.7
01-01-2001,Texas,HPI,170.6
01-01-2001,Texas,Housing Permits,13247.439058061
01-01-2001,Texas,Total Personal income,630080.5
01-04-2001,California,HPI,305.67
01-04-2001,California,Housing Permits,12151.756636518
01-04-2001,California,Total Personal income,1173015.5
01-04-2001,Florida,HPI,224.7
01-04-2001,Florida,Housing Permits,12907.224265792
01-04-2001,Florida,Total Personal income,498291.3
01-04-2001,NewYork,HPI,377.51
01-04-2001,NewYork,Housing Permits,3843
01-04-2001,NewYork,Total Personal income,706653.2
01-04-2001,Texas,HPI,172.86
01-04-2001,Texas,Housing Permits,12275.00193886
01-04-2001,Texas,Total Personal income,631787.4
01-07-2001,California,HPI,312.1
01-07-2001,California,Housing Permits,10294.777187788
01-07-2001,California,Total Personal income,1166764.8
01-07-2001,Florida,HPI,229.86
01-07-2001,Florida,Housing Permits,13731.699217329
01-07-2001,Florida,Total Personal income,498801.5
01-07-2001,NewYork,HPI,387.88
01-07-2001,NewYork,Housing Permits,4272
01-07-2001,NewYork,Total Personal income,718245.2
01-07-2001,Texas,HPI,174.14
01-07-2001,Texas,Housing Permits,11766.473832766
01-07-2001,Texas,Total Personal income,631050
01-10-2001,California,HPI,316.48
01-10-2001,California,Housing Permits,12003.892148034
01-10-2001,California,Total Personal income,1162120.1
01-10-2001,Florida,HPI,235.4
01-10-2001,Florida,Housing Permits,11254.746555252
01-10-2001,Florida,Total Personal income,499020.4
01-10-2001,NewYork,HPI,394.73
01-10-2001,NewYork,Housing Permits,3763
01-10-2001,NewYork,Total Personal income,699251.3
01-10-2001,Texas,HPI,176.09
01-10-2001,Texas,Housing Permits,11930.713099249
01-10-2001,Texas,Total Personal income,631402.9
01-01-2002,California,HPI,324.94
01-01-2002,California,Housing Permits,11799.72924619
01-01-2002,California,Total Personal income,1171907.9
01-01-2002,Florida,HPI,240.09
01-01-2002,Florida,Housing Permits,16015.533329121
01-01-2002,Florida,Total Personal income,505526.9
01-01-2002,NewYork,HPI,404.38
