observation_date,Labor_Rate_Names,Labor_Rate_Values,State,DISCWORK,ALLMARGAT,CIVLF,EMPLOY,INVOLPTEMP,UNEMPLOY,UNEMP15,JOBLOS
01-01-2004,ALLMARGAT_Rate,1.323961906,NewYork,43000,124700,9418700,8809300,260600,609400,282300,345300
01-01-2004,EMPLOY_Rate,93.529892660,NewYork,43000,124700,9418700,8809300,260600,609400,282300,345300
01-01-2004,INVOLPTEMP_Rate,2.766836188,NewYork,43000,124700,9418700,8809300,260600,609400,282300,345300
01-01-2004,UNEMP15_Rate,2.997228917,NewYork,43000,124700,9418700,8809300,260600,609400,282300,345300
01-01-2004,UNEMPLOY_Rate,6.470107340,NewYork,43000,124700,9418700,8809300,260600,609400,282300,345300
01-01-2004,JOBLOS_Rate,3.666111034,NewYork,43000,124700,9418700,8809300,260600,609400,282300,345300
01-04-2004,ALLMARGAT_Rate,1.432505711,NewYork,46400,134200,9368200,8768400,248200,599900,275100,334300
01-04-2004,EMPLOY_Rate,93.597489379,NewYork,46400,134200,9368200,8768400,248200,599900,275100,334300
01-04-2004,INVOLPTEMP_Rate,2.649388356,NewYork,46400,134200,9368200,8768400,248200,599900,275100,334300
01-04-2004,UNEMP15_Rate,2.936529963,NewYork,46400,134200,9368200,8768400,248200,599900,275100,334300
01-04-2004,UNEMPLOY_Rate,6.403578062,NewYork,46400,134200,9368200,8768400,248200,599900,275100,334300
01-04-2004,JOBLOS_Rate,3.568454986,NewYork,46400,134200,9368200,8768400,248200,599900,275100,334300
01-07-2004,ALLMARGAT_Rate,1.436267621,NewYork,46600,134900,9392400,8813800,254800,578600,259800,315400
01-07-2004,EMPLOY_Rate,93.839700183,NewYork,46600,134900,9392400,8813800,254800,578600,259800,315400
01-07-2004,INVOLPTEMP_Rate,2.712831651,NewYork,46600,134900,9392400,8813800,254800,578600,259800,315400
01-07-2004,UNEMP15_Rate,2.766066181,NewYork,46600,134900,9392400,8813800,254800,578600,259800,315400
01-07-2004,UNEMPLOY_Rate,6.160299817,NewYork,46600,134900,9392400,8813800,254800,578600,259800,315400
01-07-2004,JOBLOS_Rate,3.358034155,NewYork,46600,134900,9392400,8813800,254800,578600,259800,315400
01-10-2004,ALLMARGAT_Rate,1.414909087,NewYork,47100,133300,9421100,8870400,241600,550700,247700,287400
01-10-2004,EMPLOY_Rate,94.154610396,NewYork,47100,133300,9421100,8870400,241600,550700,247700,287400
01-10-2004,INVOLPTEMP_Rate,2.564456380,NewYork,47100,133300,9421100,8870400,241600,550700,247700,287400
01-10-2004,UNEMP15_Rate,2.629204658,NewYork,47100,133300,9421100,8870400,241600,550700,247700,287400
01-10-2004,UNEMPLOY_Rate,5.845389604,NewYork,47100,133300,9421100,8870400,241600,550700,247700,287400
01-10-2004,JOBLOS_Rate,3.050599187,NewYork,47100,133300,9421100,8870400,241600,550700,247700,287400
01-01-2005,ALLMARGAT_Rate,1.350432436,NewYork,46300,127100,9411800,8906500,240800,505400,219000,267100
01-01-2005,EMPLOY_Rate,94.631207633,NewYork,46300,127100,9411800,8906500,240800,505400,219000,267100
01-01-2005,INVOLPTEMP_Rate,2.558490406,NewYork,46300,127100,9411800,8906500,240800,505400,219000,267100
01-01-2005,UNEMP15_Rate,2.326866274,NewYork,46300,127100,9411800,8906500,240800,505400,219000,267100
01-01-2005,UNEMPLOY_Rate,5.369854863,NewYork,46300,127100,9411800,8906500,240800,505400,219000,267100
01-01-2005,JOBLOS_Rate,2.837926858,NewYork,46300,127100,9411800,8906500,240800,505400,219000,267100
01-04-2005,ALLMARGAT_Rate,1.214922557,NewYork,39300,114600,9432700,8947400,231200,485400,212200,254000
01-04-2005,EMPLOY_Rate,94.855131617,NewYork,39300,114600,9432700,8947400,231200,485400,212200,254000
01-04-2005,INVOLPTEMP_Rate,2.451047950,NewYork,39300,114600,9432700,8947400,231200,485400,212200,254000
01-04-2005,UNEMP15_Rate,2.249620999,NewYork,39300,114600,9432700,8947400,231200,485400,212200,254000
01-04-2005,UNEMPLOY_Rate,5.145928525,NewYork,39300,114600,9432700,8947400,231200,485400,212200,254000
01-04-2005,JOBLOS_Rate,2.692760291,NewYork,39300,114600,9432700,8947400,231200,485400,212200,254000
01-07-2005,ALLMARGAT_Rate,1.208937006,NewYork,39600,113900,9421500,8945200,223800,476400,213600,254100
01-07-2005,EMPLOY_Rate,94.944541740,NewYork,39600,113900,9421500,8945200,223800,476400,213600,254100
01-07-2005,INVOLPTEMP_Rate,2.375417927,NewYork,39600,113900,9421500,8945200,223800,476400,213600,254100
01-07-2005,UNEMP15_Rate,2.267154912,NewYork,39600,113900,9421500,8945200,223800,476400,213600,254100
01-07-2005,UNEMPLOY_Rate,5.056519662,NewYork,39600,113900,9421500,8945200,223800,476400,213600,254100
01-07-2005,JOBLOS_Rate,2.697022767,NewYork,39600,113900,9421500,8945200,223800,476400,213600,254100
01-10-2005,ALLMARGAT_Rate,1.218098065,NewYork,38800,114500,9399900,8929800,235400,470100,204000,251000
01-10-2005,EMPLOY_Rate,94.998882967,NewYork,38800,114500,9399900,8929800,235400,470100,204000,251000
